temperature_K	electron_density_cm-3	gas_pressure_dyn_cm-2	mass_density_g_cm-3	column_mass_g_cm-2
2.459800000000000182e+03	2.290000000000000000e+08	2.185999999999999943e+01	1.396630110662763720e-10	2.174796400000000136e-04
2.474099999999999909e+03	2.910000000000000000e+08	2.835999999999999943e+01	1.809858546496023165e-10	2.822273700000000056e-04
2.486800000000000182e+03	3.586000000000000000e+08	3.554999999999999716e+01	2.267057470335691789e-10	3.539941180000000156e-04
2.498500000000000000e+03	4.340000000000000000e+08	4.367999999999999972e+01	2.784523009938131113e-10	4.350767440000000152e-04
2.509400000000000091e+03	5.190000000000000000e+08	5.300999999999999801e+01	3.379675064452172648e-10	5.281302089999999512e-04
2.520199999999999818e+03	6.164000000000000000e+08	6.379999999999999716e+01	4.068240827797900536e-10	6.357986220000000355e-04
2.531000000000000000e+03	7.292000000000000000e+08	7.642000000000000171e+01	4.874193867350826880e-10	7.618131440000000401e-04
2.542099999999999909e+03	8.609000000000000000e+08	9.126999999999999602e+01	5.822285394603228366e-10	9.100322999999999572e-04
2.553099999999999909e+03	1.015000000000000000e+09	1.087999999999999972e+02	6.943709536713894964e-10	1.085395050000000083e-03
2.564199999999999818e+03	1.196000000000000000e+09	1.296999999999999886e+02	8.283232912031988905e-10	1.293251789999999915e-03
2.575500000000000000e+03	1.410000000000000000e+09	1.544000000000000057e+02	9.867920141890629839e-10	1.540413729999999927e-03
2.586900000000000091e+03	1.662000000000000000e+09	1.839000000000000057e+02	1.176498259065457883e-09	1.834865860000000010e-03
2.598000000000000000e+03	1.958000000000000000e+09	2.190999999999999943e+02	1.403977839304449092e-09	2.186061090000000068e-03
2.609099999999999909e+03	2.306000000000000000e+09	2.611000000000000227e+02	1.676451909171498757e-09	2.604789650000000154e-03
2.619900000000000091e+03	2.715000000000000000e+09	3.110000000000000000e+02	2.002068877468891710e-09	3.102826380000000151e-03
2.630500000000000000e+03	3.195000000000000000e+09	3.705000000000000000e+02	2.392735047735467574e-09	3.697095660000000034e-03
2.640800000000000182e+03	3.759000000000000000e+09	4.415000000000000000e+02	2.862418695403196993e-09	4.405202290000000132e-03
2.650300000000000182e+03	4.415000000000000000e+09	5.260000000000000000e+02	3.427793947384585005e-09	5.249036559999999824e-03
2.659400000000000091e+03	5.182000000000000000e+09	6.266000000000000227e+02	4.107774650912794225e-09	6.253128079999999839e-03
2.668199999999999818e+03	6.081000000000000000e+09	7.467000000000000455e+02	4.928158813695313108e-09	7.450590719999999716e-03
2.675099999999999909e+03	7.109000000000000000e+09	8.896000000000000227e+02	5.925873727064555416e-09	8.879512710000000628e-03
2.681400000000000091e+03	8.302000000000000000e+09	1.059000000000000000e+03	7.127325677647280607e-09	1.058659550000000046e-02
2.686900000000000091e+03	9.686000000000000000e+09	1.262000000000000000e+03	8.593957535415202322e-09	1.261264519999999965e-02
2.692400000000000091e+03	1.131000000000000000e+10	1.505000000000000000e+03	1.037451354637526465e-08	1.505654879999999973e-02
2.697800000000000182e+03	1.322000000000000000e+10	1.798000000000000000e+03	1.255406992764722842e-08	1.799239110000000127e-02
2.701699999999999818e+03	1.544000000000000000e+10	2.153000000000000000e+03	1.526140021499855996e-08	2.155283880000000152e-02
2.710300000000000182e+03	1.822000000000000000e+10	2.586000000000000000e+03	1.851360196195794881e-08	2.589705169999999973e-02
2.717800000000000182e+03	2.152000000000000000e+10	3.119000000000000000e+03	2.259423166676604666e-08	3.124210009999999968e-02
2.725199999999999818e+03	2.547000000000000000e+10	3.775000000000000000e+03	2.768481246852827664e-08	3.783238750000000178e-02
2.734699999999999818e+03	3.033000000000000000e+10	4.587000000000000000e+03	3.398475163157059528e-08	4.597372029999999971e-02
2.747400000000000091e+03	3.641000000000000000e+10	5.595000000000000000e+03	4.173746750206164535e-08	5.609705400000000036e-02
2.761699999999999818e+03	4.391000000000000000e+10	6.850000000000000000e+03	5.137627243572298299e-08	6.869265419999999456e-02
2.777400000000000091e+03	5.320000000000000000e+10	8.413000000000000000e+03	6.336308672624622495e-08	8.438099229999999895e-02
2.794599999999999909e+03	6.468000000000000000e+10	1.036000000000000000e+04	7.824860150556900186e-08	1.038987960000000016e-01
2.810400000000000091e+03	7.849000000000000000e+10	1.278000000000000000e+04	9.696935358323744944e-08	1.281646479999999921e-01
2.836199999999999818e+03	9.686000000000000000e+10	1.578000000000000000e+04	1.190329591612877006e-07	1.581158659999999938e-01
2.860400000000000091e+03	1.192000000000000000e+11	1.949000000000000000e+04	1.464615999875462430e-07	1.952851090000000123e-01
2.881900000000000091e+03	1.459000000000000000e+11	2.408000000000000000e+04	1.808200727408224242e-07	2.411978969999999944e-01
2.905000000000000000e+03	1.790000000000000000e+11	2.974000000000000000e+04	2.228331064295112781e-07	2.977514640000000212e-01
2.926199999999999818e+03	2.186000000000000000e+11	3.672000000000000000e+04	2.750859726811039674e-07	3.675987059999999973e-01
2.964199999999999818e+03	2.745000000000000000e+11	4.527000000000000000e+04	3.337261375722276931e-07	4.530447459999999982e-01
3.011099999999999909e+03	3.485000000000000000e+11	5.562000000000000000e+04	4.002961588785651688e-07	5.565594990000000131e-01
3.062000000000000000e+03	4.432000000000000000e+11	6.809000000000000000e+04	4.769409311703747185e-07	6.812276299999999729e-01
3.110300000000000182e+03	5.587000000000000000e+11	8.312000000000000000e+04	5.684428374725743929e-07	8.314537300000000020e-01
3.153300000000000182e+03	6.962000000000000000e+11	1.013000000000000000e+05	6.801572664504850025e-07	1.012844810000000040e+00
3.198900000000000091e+03	8.690000000000000000e+11	1.232000000000000000e+05	8.107732338057349311e-07	1.231836600000000059e+00
3.248199999999999818e+03	1.087000000000000000e+12	1.495000000000000000e+05	9.618622557157269975e-07	1.495251950000000107e+00
3.297800000000000182e+03	1.356000000000000000e+12	1.811000000000000000e+05	1.139748719959853167e-06	1.811248069999999988e+00
3.350300000000000182e+03	1.693000000000000000e+12	2.189000000000000000e+05	1.345331108598363807e-06	2.189298430000000018e+00
3.409099999999999909e+03	2.125000000000000000e+12	2.641000000000000000e+05	1.578286131502732451e-06	2.640957020000000099e+00
3.470300000000000182e+03	2.666000000000000000e+12	3.178000000000000000e+05	1.844990102748400201e-06	3.178015919999999994e+00
3.532900000000000091e+03	3.338000000000000000e+12	3.812000000000000000e+05	2.149628606050464038e-06	3.812081570000000141e+00
3.594300000000000182e+03	4.158000000000000000e+12	4.556000000000000000e+05	2.500162511897654884e-06	4.555971239999999867e+00
3.659000000000000000e+03	5.179000000000000000e+12	5.422000000000000000e+05	2.890736316766950786e-06	5.422084319999999735e+00
3.724599999999999909e+03	6.430000000000000000e+12	6.421000000000000000e+05	3.326538563252478138e-06	6.420657059999999916e+00
3.791500000000000000e+03	7.963000000000000000e+12	7.561000000000000000e+05	3.805733904426695388e-06	7.561116440000000161e+00
3.858699999999999818e+03	9.821000000000000000e+12	8.852000000000000000e+05	4.331153979408403033e-06	8.851929869999999312e+00
3.924599999999999909e+03	1.204000000000000000e+13	1.030000000000000000e+06	4.906370172484698459e-06	1.030349059999999994e+01
3.992500000000000000e+03	1.475000000000000000e+13	1.193000000000000000e+06	5.529771596537276244e-06	1.192442980000000041e+01
4.057400000000000091e+03	1.793000000000000000e+13	1.373000000000000000e+06	6.207661416830528182e-06	1.372873670000000068e+01
4.125399999999999636e+03	2.181000000000000000e+13	1.573000000000000000e+06	6.928985637783987813e-06	1.573058639999999997e+01
4.191800000000000182e+03	2.638000000000000000e+13	1.795000000000000000e+06	7.716479686263548314e-06	1.794761000000000095e+01
4.259399999999999636e+03	3.187000000000000000e+13	2.041000000000000000e+06	8.563275459518446684e-06	2.040477209999999886e+01
4.329100000000000364e+03	3.851000000000000000e+13	2.312000000000000000e+06	9.463606902832760609e-06	2.312059700000000007e+01
4.394699999999999818e+03	4.613000000000000000e+13	2.614000000000000000e+06	1.046979536370283779e-05	2.613862010000000069e+01
4.464100000000000364e+03	5.545000000000000000e+13	2.951000000000000000e+06	1.155291440604084977e-05	2.950481230000000110e+01
4.536699999999999818e+03	6.677000000000000000e+13	3.325000000000000000e+06	1.271453506495855597e-05	3.324515879999999868e+01
4.612699999999999818e+03	8.055000000000000000e+13	3.740000000000000000e+06	1.395999763197449589e-05	3.739469679999999840e+01
4.690500000000000000e+03	9.710000000000000000e+13	4.200000000000000000e+06	1.530523768081402567e-05	4.200153029999999887e+01
