temperature_K	electron_density_cm-3	gas_pressure_dyn_cm-2	mass_density_g_cm-3	column_mass_g_cm-2
1.520599999999999909e+03	5.208000000000000000e+03	1.766999999999999908e-03	2.642076700728077607e-14	5.600733710000000109e-05
1.521599999999999909e+03	6.438000000000000000e+03	2.356000000000000021e-03	3.598885314528011235e-14	7.463573430000000218e-05
1.522599999999999909e+03	7.875000000000000000e+03	3.141999999999999828e-03	4.894471986614331100e-14	9.946305390000000242e-05
1.542599999999999909e+03	1.127000000000000000e+04	4.139000000000000318e-03	6.275660644595207644e-14	1.310077029999999975e-04
1.546099999999999909e+03	1.389000000000000000e+04	5.393000000000000224e-03	8.273395280540935134e-14	1.706521680000000116e-04
1.547200000000000045e+03	1.675000000000000000e+04	7.054000000000000374e-03	1.099987242784237242e-13	2.230907439999999886e-04
1.553500000000000000e+03	2.100000000000000000e+04	9.239000000000000684e-03	1.446926304374352172e-13	2.923559419999999785e-04
1.563000000000000000e+03	2.707000000000000000e+04	1.204000000000000035e-02	1.880421410219191619e-13	3.809455459999999791e-04
1.570900000000000091e+03	3.421000000000000000e+04	1.563000000000000153e-02	2.441831380539128531e-13	4.942757980000000301e-04
1.580299999999999955e+03	4.370000000000000000e+04	2.020999999999999880e-02	3.148349589846810831e-13	6.386778319999999662e-04
1.592400000000000091e+03	5.656000000000000000e+04	2.603000000000000105e-02	4.022440984079538432e-13	8.224087829999999653e-04
1.603900000000000091e+03	7.295000000000000000e+04	3.339000000000000301e-02	5.124349706381861700e-13	1.056049980000000081e-03
1.615299999999999955e+03	9.389000000000000000e+04	4.272000000000000103e-02	6.513042197653540776e-13	1.351292179999999963e-03
1.628299999999999955e+03	1.219000000000000000e+05	5.455000000000000127e-02	8.238783926255908367e-13	1.726035699999999918e-03
1.643299999999999955e+03	1.603000000000000000e+05	6.950000000000000622e-02	1.036225520119610919e-12	2.199271129999999953e-03
1.660099999999999909e+03	2.131000000000000000e+05	8.834000000000000186e-02	1.296188741685342282e-12	2.795999190000000075e-03
1.678099999999999909e+03	2.847000000000000000e+05	1.121000000000000052e-01	1.615391092276039143e-12	3.547981740000000044e-03
1.697299999999999955e+03	3.822000000000000000e+05	1.421000000000000041e-01	2.006985475384903059e-12	4.495818870000000377e-03
1.717200000000000045e+03	5.143000000000000000e+05	1.799999999999999933e-01	2.488990618664606560e-12	5.695414670000000130e-03
1.737099999999999909e+03	6.894000000000000000e+05	2.280999999999999972e-01	3.089046402737660857e-12	7.216707309999999785e-03
1.756700000000000045e+03	9.198000000000000000e+05	2.893000000000000016e-01	3.840947845382102750e-12	9.155050569999999971e-03
1.777200000000000045e+03	1.230000000000000000e+06	3.675999999999999823e-01	4.778986874064953329e-12	1.162878720000000074e-02
1.798599999999999909e+03	1.649000000000000000e+06	4.676000000000000156e-01	5.945225646130304919e-12	1.479335440000000002e-02
1.820599999999999909e+03	2.214000000000000000e+06	5.956000000000000183e-01	7.401634959545469052e-12	1.884452359999999951e-02
1.843400000000000091e+03	2.975000000000000000e+06	7.599000000000000199e-01	9.221782115718041886e-12	2.404390890000000086e-02
1.867400000000000091e+03	4.004000000000000000e+06	9.711999999999999522e-01	1.149045272400220948e-11	3.072680330000000098e-02
1.888299999999999955e+03	5.298000000000000000e+06	1.243999999999999995e+00	1.445112834050569151e-11	3.935026929999999729e-02
1.913099999999999909e+03	7.118000000000000000e+06	1.596000000000000085e+00	1.807821169558602424e-11	5.049978439999999735e-02
1.938599999999999909e+03	9.560000000000000000e+06	2.052999999999999936e+00	2.266770215598201597e-11	6.493999409999999528e-02
1.965000000000000000e+03	1.285000000000000000e+07	2.645999999999999908e+00	2.845750682071848302e-11	8.369842550000000658e-02
1.992500000000000000e+03	1.727000000000000000e+07	3.419999999999999929e+00	3.579561927382979842e-11	1.081666750000000038e-01
2.021000000000000000e+03	2.325000000000000000e+07	4.434000000000000163e+00	4.513936975101287458e-11	1.401886579999999938e-01
2.051099999999999909e+03	3.138000000000000000e+07	5.769000000000000128e+00	5.703729424092186527e-11	1.823692419999999870e-01
2.082099999999999909e+03	4.240000000000000000e+07	7.538999999999999702e+00	7.239543381052633616e-11	2.381694829999999874e-01
2.114300000000000182e+03	5.741000000000000000e+07	9.897000000000000242e+00	9.228048020067756706e-11	3.126435450000000227e-01
2.148199999999999818e+03	7.808000000000000000e+07	1.307000000000000028e+01	1.182265072149080064e-10	4.126264219999999927e-01
2.183699999999999818e+03	1.068000000000000000e+08	1.735000000000000142e+01	1.521736960325146772e-10	5.480269049999999531e-01
2.221000000000000000e+03	1.469000000000000000e+08	2.321000000000000085e+01	1.973139611500472742e-10	7.328517450000000544e-01
2.260300000000000182e+03	2.038000000000000000e+08	3.128000000000000114e+01	2.576238972386485396e-10	9.878144829999999654e-01
2.301900000000000091e+03	2.855000000000000000e+08	4.249000000000000199e+01	3.388258950494667157e-10	1.342223940000000004e+00
2.346199999999999818e+03	4.045000000000000000e+08	5.822999999999999687e+01	4.492252742689295566e-10	1.839937769999999917e+00
2.393400000000000091e+03	5.799000000000000000e+08	8.051999999999999602e+01	6.005501294742930332e-10	2.544794449999999930e+00
2.443500000000000000e+03	8.414000000000000000e+08	1.122999999999999972e+02	8.094639609009815380e-10	3.550155769999999933e+00
2.496599999999999909e+03	1.234000000000000000e+09	1.578000000000000114e+02	1.098973027829834417e-09	4.989676509999999787e+00
2.552599999999999909e+03	1.822000000000000000e+09	2.230000000000000000e+02	1.500549449031491221e-09	7.048877530000000391e+00
2.610900000000000091e+03	2.701000000000000000e+09	3.156999999999999886e+02	2.053648927906516946e-09	9.977038639999999958e+00
2.671199999999999818e+03	3.996000000000000000e+09	4.461999999999999886e+02	2.807910490430554939e-09	1.410919789999999985e+01
2.733199999999999818e+03	5.882000000000000000e+09	6.273999999999999773e+02	3.822273732848330415e-09	1.983507880000000156e+01
2.796400000000000091e+03	8.589000000000000000e+09	8.752999999999999545e+02	5.167536944177508738e-09	2.767991579999999985e+01
2.861699999999999818e+03	1.245000000000000000e+10	1.211000000000000000e+03	6.929496988906307728e-09	3.830579269999999781e+01
2.930300000000000182e+03	1.797000000000000000e+10	1.661000000000000000e+03	9.206621588588493676e-09	5.252294460000000242e+01
3.005000000000000000e+03	2.602000000000000000e+10	2.264000000000000000e+03	1.213116867260836937e-08	7.161944320000000630e+01
3.090000000000000000e+03	3.813000000000000000e+10	3.069000000000000000e+03	1.583704298171396019e-08	9.711183970000000443e+01
3.189199999999999818e+03	5.709000000000000000e+10	4.124000000000000000e+03	2.040041623856224466e-08	1.304677920000000029e+02
3.311000000000000000e+03	8.870000000000000000e+10	5.425000000000000000e+03	2.554943062957817310e-08	1.716057389999999998e+02
3.453400000000000091e+03	1.421000000000000000e+11	6.843000000000000000e+03	3.057942053551200398e-08	2.164410010000000000e+02
3.608400000000000091e+03	2.290000000000000000e+11	8.172000000000000000e+03	3.468671972042690411e-08	2.584635680000000093e+02
3.772900000000000091e+03	3.637000000000000000e+11	9.324000000000000000e+03	3.766685199461252787e-08	2.948575099999999907e+02
3.944900000000000091e+03	5.569000000000000000e+11	1.033000000000000000e+04	3.979493123360133833e-08	3.265335349999999721e+02
4.138300000000000182e+03	8.268000000000000000e+11	1.123000000000000000e+04	4.116454898858987412e-08	3.550730449999999792e+02
4.345199999999999818e+03	1.147000000000000000e+12	1.211000000000000000e+04	4.223119034811885867e-08	3.828947769999999764e+02
4.581899999999999636e+03	1.504000000000000000e+12	1.304000000000000000e+04	4.309578336323951589e-08	4.124379159999999729e+02
4.846100000000000364e+03	1.876000000000000000e+12	1.413000000000000000e+04	4.413475960694887362e-08	4.467789010000000189e+02
5.144300000000000182e+03	2.418000000000000000e+12	1.542000000000000000e+04	4.536193476524923443e-08	4.876907729999999788e+02
5.468199999999999818e+03	3.803000000000000000e+12	1.683000000000000000e+04	4.656959198771899677e-08	5.322325769999999920e+02
5.815899999999999636e+03	7.374000000000000000e+12	1.805000000000000000e+04	4.694940260939303789e-08	5.708653809999999567e+02
6.135100000000000364e+03	1.407000000000000000e+13	1.901000000000000000e+04	4.685844974593187153e-08	6.010369709999999941e+02
6.423600000000000364e+03	2.481000000000000000e+13	1.977000000000000000e+04	4.651983150317315074e-08	6.251002340000000004e+02
6.659000000000000000e+03	3.856000000000000000e+13	2.043000000000000000e+04	4.634426053242375279e-08	6.459608510000000479e+02
6.863500000000000000e+03	5.536000000000000000e+13	2.104000000000000000e+04	4.627030151773289140e-08	6.654077150000000529e+02
7.032199999999999818e+03	7.397000000000000000e+13	2.165000000000000000e+04	4.643108893313296184e-08	6.847226359999999659e+02
7.208000000000000000e+03	9.912000000000000000e+13	2.227000000000000000e+04	4.654464379665777326e-08	7.043927330000000211e+02
7.373500000000000000e+03	1.282000000000000000e+14	2.291000000000000000e+04	4.674703812910070583e-08	7.245428530000000364e+02
7.476800000000000182e+03	1.506000000000000000e+14	2.360000000000000000e+04	4.744616093780175710e-08	7.464225020000000086e+02
7.691199999999999818e+03	2.069000000000000000e+14	2.432000000000000000e+04	4.741605585414897051e-08	7.691688530000000128e+02
7.786600000000000364e+03	2.384000000000000000e+14	2.509000000000000000e+04	4.826011863865613338e-08	7.935329980000000205e+02
7.933600000000000364e+03	2.921000000000000000e+14	2.594000000000000000e+04	4.886442535180957581e-08	8.205651699999999664e+02
8.072300000000000182e+03	3.533000000000000000e+14	2.686000000000000000e+04	4.961157405717167100e-08	8.497433210000000372e+02
8.200100000000000364e+03	4.196000000000000000e+14	2.788000000000000000e+04	5.057075260198125032e-08	8.818381219999999985e+02
8.329299999999999272e+03	4.971000000000000000e+14	2.900000000000000000e+04	5.164554364979344537e-08	9.173628280000000359e+02
